"","PNR.Open","PNR.High","PNR.Low","PNR.Close","PNR.Volume","PNR.Adjusted"
"1",38.226997,38.932171,38.132977,38.918736,1901900,35.614262
"2",38.912022,39.079918,38.723976,39.053055,1524140,35.737175
"3",38.912022,39.2411,38.509068,38.999329,1234083,35.688011
"4",38.965748,39.328407,38.89859,38.959034,1014158,35.651134
"5",38.797852,38.952316,37.965076,37.99194,1300790,34.766155
"6",38.240429,38.509068,38.052383,38.233715,1416486,34.987411
"7",38.240429,38.797852,38.15984,38.596375,957725,35.319271
"8",38.576225,38.730694,38.085964,38.462055,926903,35.196365
"9",39.073204,39.509739,38.999329,39.429146,1298706,36.081333
"10",39.402283,39.623909,38.959034,39.288113,1985284,35.952278
"11",39.274681,39.476158,39.12693,39.449295,1037535,36.099773
"12",39.388851,39.791805,39.214237,39.576897,1325359,36.216534
"13",39.731361,39.791805,39.314976,39.48959,904121,36.136642
"14",39.341839,39.785091,38.985897,39.48959,1111092,36.136642
"15",39.623909,40.496979,39.469444,40.449966,1372858,37.015488
"16",40.429817,41.370049,40.362659,41.302887,1877927,38.013733
"17",41.141705,41.551376,40.664875,40.852921,1417677,37.599594
"18",40.832775,41.188717,40.812626,41.000671,1740045,37.735573
"19",40.711887,40.960377,40.214909,40.805908,1799754,37.556316
"20",40.503693,40.805908,39.234386,39.37542,4902235,36.23975
"21",39.361988,39.986568,38.603088,39.032909,3124667,35.924519
"22",39.046341,39.100067,38.576225,38.831429,1775781,35.739086
"23",39.147079,39.26125,38.938885,39.214237,1915301,36.091415
"24",39.059772,39.093349,38.576225,38.878441,1577744,35.782352
"25",39.053055,39.254532,38.791134,39.046341,1540817,35.936878
"26",38.932171,38.965748,38.717258,38.925453,1693886,35.825615
"27",38.912022,39.402283,38.912022,39.153793,2195828,36.035786
"28",39.26125,39.462727,39.059772,39.435863,1570002,36.295395
"29",39.442577,40.087307,39.442577,39.946274,1966671,36.765152
"30",39.858967,39.932842,39.288113,39.368706,1814644,36.233578
"31",39.247818,39.764942,39.12693,39.724648,959214,36.561176
"32",39.704498,39.704498,38.979179,39.314976,2041866,36.184128
"33",39.167225,39.167225,38.703827,39.039623,1298259,35.930695
"34",39.026192,39.899261,38.965748,39.852249,1304513,36.678604
"35",39.590328,39.751511,39.361988,39.556747,1037535,36.406647
"36",39.778374,39.979851,39.006042,39.274681,1775335,36.147045
"37",38.925453,39.160511,38.750839,39.053055,2893276,35.943058
"38",39.147079,39.48959,38.878441,39.368706,3094887,36.233578
"39",39.2411,39.48959,38.844864,38.992611,1599186,35.887428
"40",39.536602,40.355946,39.456013,40.201477,3092206,37.000034
"41",40.033581,40.188046,39.435863,39.469444,1283369,36.326294
"42",39.496307,39.764942,39.180656,39.724648,1245995,36.561176
"43",39.368706,39.818668,39.348557,39.529884,1242422,36.381916
"44",39.48959,39.751511,39.348557,39.556747,1363328,36.406647
"45",39.691067,39.905975,39.516453,39.832104,1810773,36.660065
"46",39.832104,40.087307,39.576897,39.758228,1903389,36.592072
"47",40.11417,40.449966,40.080589,40.369373,3741261,37.154549
"48",40.416386,40.913364,40.416386,40.839489,3112903,37.587234
"49",40.51041,40.638012,39.899261,40.564137,1701183,37.333817
"50",41.054398,42.444595,40.785763,42.115513,3821370,38.761639
"51",42.229683,42.424446,41.994629,42.068501,1701629,38.718372
"52",42.175957,42.377434,42.102081,42.222969,2050651,38.860538
"53",42.249832,42.303558,41.598389,41.773003,1283518,38.446404
"54",41.961048,42.162525,40.819344,40.893215,2150861,37.636684
"55",40.940228,41.21558,40.698456,40.926796,1487213,37.667591
"56",40.711887,41.316319,40.711887,40.940228,949982,37.679947
"57",41.034252,41.188717,40.503693,40.779045,994801,37.531605
"58",40.141033,41.202148,39.879112,41.007389,1402340,37.741764
"59",41.007389,42.397583,40.805908,42.149094,2098894,38.792549
"60",42.041637,42.59906,41.846878,42.357288,1699991,38.984165
"61",42.216251,42.612492,42.189388,42.236401,1709223,38.872906
"62",42.041637,42.464741,41.779716,42.162525,1877778,38.804913
"63",42.303558,42.424446,41.376762,41.820011,1490489,38.489674
"64",41.793152,42.216251,41.470787,42.20282,1614821,38.842003
"65",42.377434,42.672935,41.719276,41.89389,1882543,38.557678
"66",41.981194,42.565479,41.799866,42.189388,1007011,38.829636
"67",42.068501,42.451309,42.028206,42.169243,1025028,38.811096
"68",42.128944,42.679649,42.061787,42.390865,1119877,39.015068
"69",42.350571,42.706512,42.081936,42.605778,1210855,39.212872
"70",42.625923,42.625923,41.74614,41.873741,1298110,38.539127
"71",41.766285,42.175957,41.685696,41.74614,1154422,38.42168
"72",42.014774,42.518471,41.719276,42.518471,1169014,39.132511
"73",42.155807,42.498322,42.048355,42.269981,1335335,38.903812
"74",42.25655,42.330421,41.625252,41.786434,1041704,38.670734
"75",41.97448,42.31699,41.97448,42.175957,2023551,39.031216
"76",42.283413,42.290127,41.799866,42.021492,1736621,38.888268
"77",42.726662,42.981869,42.431164,42.491604,2583564,39.323326
"78",42.646072,43.505711,42.041637,43.425117,3849363,40.187241
"79",43.384823,44.09671,43.384823,43.633312,3052301,40.379902
"80",43.566151,43.834789,43.398254,43.425117,1452371,40.187241
"81",43.485561,43.693752,43.176628,43.324379,2105744,40.094013
"82",43.143047,43.478844,42.874413,43.203491,1577596,39.98214
"83",43.270653,43.613163,43.270653,43.47213,1372262,40.23074
"84",43.270653,44.103424,43.176628,43.955673,2024444,40.678242
"85",43.895233,43.995972,43.606445,43.848221,1828790,40.578793
"86",43.989254,44.627266,43.888515,44.613834,2020424,41.287319
"87",44.412357,44.721291,44.217594,44.385494,1923639,41.076008
"88",45.319008,46.359974,45.171257,45.486904,4303210,42.095295
"89",45.466755,45.480186,44.23103,44.311619,2721148,41.007641
"90",44.103424,44.103424,43.438549,43.693752,1779653,40.435841
"91",43.465412,43.70047,43.364674,43.411686,1211748,40.174805
"92",43.734051,44.049698,43.619881,43.98254,1587274,40.703094
"93",44.089993,44.103424,43.673607,43.989254,1283220,40.709316
"94",43.989254,44.04298,43.297516,43.801208,2340410,40.53529
"95",44.660847,44.775017,43.895233,44.29147,1764316,40.988983
"96",44.57354,45.319008,44.385494,45.070518,1292154,41.709949
"97",45.339153,45.567493,45.19812,45.433178,994354,42.04557
"98",45.453323,45.466755,44.278038,44.425789,1994813,41.1133
"99",44.499664,44.875755,44.492947,44.721291,988249,41.386757
"100",44.795166,44.949631,44.365345,44.694427,847241,41.361908
"101",44.627266,44.627266,44.257893,44.492947,1623308,41.175449
"102",44.472801,44.869041,44.311619,44.761585,654118,41.424057
"103",44.660847,44.674278,44.049698,44.472801,2084004,41.156799
"104",44.432507,44.822029,43.680321,44.486233,2200593,41.169239
"105",44.472801,44.788448,44.257893,44.45937,1225298,41.144375
"106",44.412357,44.539959,43.875084,43.895233,1003437,40.622303
"107",43.640026,43.666889,43.082607,43.445267,1671105,40.205879
"108",43.478844,43.707188,42.874413,43.22364,1183457,40.000782
"109",43.22364,43.653458,42.881126,43.478844,1379707,40.236954
"110",43.465412,44.613834,43.451981,44.499664,1885074,41.181667
"111",44.640697,45.063801,44.432507,44.546677,994503,41.22517
"112",44.432507,44.768299,44.237743,44.680992,773089,41.349476
"113",44.875755,44.902618,44.385494,44.660847,1075356,41.330826
"114",44.257893,44.674278,44.23103,44.560108,820439,41.237598
"115",44.660847,45.023506,44.479515,44.781734,1538733,41.442699
"116",44.882469,45.157825,44.620552,45.157825,874192,41.79076
"117",44.835461,44.895905,44.43922,44.654129,829075,41.324615
"118",44.721291,44.721291,43.539288,43.599731,944175,40.348831
"119",43.593014,43.955673,43.505711,43.626595,1256269,40.373688
"120",43.673607,44.110142,43.673607,44.076561,1659937,40.790108
"121",44.204163,44.519814,43.854935,44.083279,625082,40.796326
"122",44.110142,44.29147,43.693752,43.713902,657245,40.454491
"123",44.063129,44.472801,43.989254,44.358631,931816,41.05114
"124",44.472801,44.620552,43.942242,44.069847,970679,40.783894
"125",44.244457,44.963062,44.076561,44.68771,875830,41.35569
"126",45.003357,45.211552,44.701141,45.016788,615404,41.660233
