"","OXY.Open","OXY.High","OXY.Low","OXY.Close","OXY.Volume","OXY.Adjusted"
"1",72.269997,72.959999,71.18,72.269997,4393600,59.798943
"2",71.93,72.199997,71.07,71.480003,4151400,59.145264
"3",71.32,71.480003,70.540001,70.620003,4769900,58.433666
"4",70.620003,71.389999,70.339996,71.080002,3935600,58.814293
"5",70.519997,70.809998,69.900002,70.480003,5543700,58.317841
"6",70.489998,70.760002,69.290001,69.349998,3993200,57.382816
"7",69.400002,69.940002,68.879997,69.349998,6423200,57.382816
"8",69.529999,69.639999,68.470001,69.029999,5343000,57.118042
"9",68.940002,69.379997,68.660004,69.080002,3739700,57.159416
"10",69.739998,70.160004,69.089996,69.730003,3776400,57.697262
"11",69.290001,69.879997,69.059998,69.32,3659300,57.358009
"12",69.580002,69.75,68.379997,68.730003,3901100,56.869812
"13",69.349998,69.400002,68.269997,68.589996,4239100,56.753971
"14",68.290001,68.580002,67.650002,67.989998,3129400,56.257504
"15",68.440002,68.5,67.610001,67.870003,4946800,56.158211
"16",68.099998,69.25,67.910004,68.129997,6147400,56.373344
"17",68.279999,68.57,67.849998,68.550003,3698700,56.720879
"18",68.370003,68.959999,68.139999,68.949997,3836500,57.051842
"19",68.529999,68.849998,67.32,67.879997,4551000,56.166485
"20",68,68.089996,67.330002,67.769997,5538400,56.07547
"21",67.93,68.099998,67.019997,67.610001,3975700,55.943085
"22",67.599998,69.099998,67.260002,68.5,4889000,56.679504
"23",68.400002,69.830002,68.110001,69.18,4069400,57.242165
"24",68.949997,69.279999,67.989998,68.190002,3799300,56.422989
"25",67.910004,67.949997,66.349998,66.82,4857200,55.289398
"26",66.599998,67.199997,65.629997,66.769997,5676700,55.248032
"27",66.769997,68.330002,66.160004,68.190002,6777800,56.422989
"28",68.57,69.900002,68.160004,68.470001,7394500,56.654686
"29",67.389999,67.709999,66.879997,67.389999,6124000,55.761044
"30",67.5,67.75,65.709999,67.160004,8697000,55.570744
"31",66.870003,67.660004,66.75,67.209999,4673900,55.612106
"32",67.379997,67.379997,66.360001,66.440002,4905200,54.974976
"33",66.160004,66.279999,65.389999,66.269997,5259200,54.834309
"34",67,67.25,66.589996,66.980003,4796100,55.421799
"35",66.580002,66.959999,65.879997,65.910004,5177700,54.53643
"36",66.510002,66.610001,65.080002,65.25,6441500,53.990314
"37",65.029999,65.129997,64.190002,64.889999,5286600,53.692451
"38",64.93,65.699997,64.660004,65.470001,5015700,54.172363
"39",65.230003,65.68,65.040001,65.550003,5309400,54.23856
"40",66.209999,66.790001,65.949997,66.239998,5277000,54.809486
"41",65.839996,66.139999,65.370003,65.5,5647000,54.197186
"42",65.379997,65.480003,64.639999,64.860001,5070100,53.667625
"43",64.82,65.040001,64.489998,64.730003,5100800,53.560062
"44",64.860001,64.970001,64.5,64.699997,5391600,53.535236
"45",63.73,63.959999,62.009998,62.060001,7226000,51.961166
"46",61.869999,62.59,61.009998,62.5,8182500,52.329563
"47",63,63.049999,62.189999,62.599998,6070000,52.413288
"48",62.509998,63.290001,62.5,62.880001,6118100,52.647728
"49",62.360001,63.25,61.799999,63.040001,5747000,52.781696
"50",64.300003,65.209999,63.689999,65.059998,7500300,54.472984
"51",65.019997,65.07,63.720001,63.82,5789500,53.434761
"52",63.990002,64.339996,63.82,64.089996,7553800,53.660828
"53",63.759998,64.059998,63.439999,63.66,4655600,53.3008
"54",63.970001,64.07,63.27,63.360001,6446600,53.049622
"55",63.279999,63.700001,62.779999,63.509998,4984500,53.175217
"56",63.25,63.720001,62.970001,63.040001,3975500,52.781696
"57",63.16,63.419998,62.43,62.830002,4228900,52.605858
"58",62.150002,62.990002,62.099998,62.869999,3350300,52.639347
"59",62.869999,63.619999,62.560001,63.400002,4961400,53.083115
"60",63.209999,63.939999,63.040001,63.779999,4351400,53.401268
"61",64.050003,64.5,63.52,64.269997,8501400,53.811531
"62",64.010002,64.32,63.099998,63.360001,6520800,53.049622
"63",63.380001,63.880001,62.709999,63.740002,4324400,53.367783
"64",63.720001,64.019997,62.91,64.010002,3050400,53.593845
"65",64.370003,64.870003,63.32,63.43,4740800,53.108227
"66",63.639999,63.779999,63.169998,63.279999,4285400,52.982635
"67",63.400002,63.549999,62.919998,62.990002,3871700,52.73983
"68",63.290001,64.440002,63.240002,64.139999,4063100,53.702694
"69",64.260002,65.050003,63.900002,64.980003,4828800,54.406002
"70",64.940002,65.730003,64.760002,65.059998,6533900,54.472984
"71",64.970001,65.099998,63.919998,64.089996,4693000,53.660828
"72",64.139999,64.150002,63.630001,64.029999,4065000,53.610592
"73",63.82,64.139999,62.689999,62.700001,4404100,52.497017
